REF,Company,Company_Location,Year_Reviewed,Bean_Origin,Cocoa_Percent,Characteristics,Rating,S_Bean_Origin,Number_Ingredients,Ingredient_B,Ingredient_C,Ingredient_L,Ingredient_S,Ingredient_S*,Ingredient_Sa,Ingredient_V
2442,Letterpress,U.S.A.,2019,Bolivia,70.0,"spoiled milk, sweet, molasses",3.25,"Tranquilidad, beniano",3,1,1,0,1,0,0,0
2562,Letterpress,U.S.A.,2021,Sao Tome & Principe,70.0,"buttery, sunflower, astringent",3.5,"Satocao, limited ed.",3,1,1,0,1,0,0,0
2562,Letterpress,U.S.A.,2021,U.S.A.,70.0,home baked banana nut bread,3.75,"Maui Kuia E., Hawaii, 2018-2019 h.",3,1,1,0,1,0,0,0
1231,Levy,Finland,2014,Madagascar,71.0,"sandy, citrus",3.5,Sambirano,3,1,1,0,1,0,0,0
1856,Lilla,Finland,2016,Madagascar,70.0,"sweet edge, bright fruit, off",3.0,Madagascar,2,1,0,0,1,0,0,0
947,Lillie Belle,U.S.A.,2012,Blend,75.0,"grits, roasted, nutty",2.75,"Purple Haze, Venezuela, Dom. Rep.",2,1,0,0,1,0,0,0
947,Lillie Belle,U.S.A.,2012,Dominican Republic,74.0,"fatty, roasty, cocoa",3.0,"The Other One, Grand Cru",2,1,0,0,1,0,0,0
855,Lillie Belle,U.S.A.,2012,Peru,65.0,"creamy, strawberry, cocoa",3.5,Perfect Illusion,2,1,0,0,1,0,0,0
903,Lillie Belle,U.S.A.,2012,Bolivia,68.0,"fatty, nutty, melon like",3.5,"Bolivia, Wild Thing",2,1,0,0,1,0,0,0
947,Lillie Belle,U.S.A.,2012,Bolivia,68.0,"fatty, grassy, cocoa",3.5,Wild Thing,2,1,0,0,1,0,0,0
903,Lillie Belle,U.S.A.,2012,Peru,68.0,"rich cocoa, spicy edge",3.75,La Selva,2,1,0,0,1,0,0,0
157,Lindt & Sprungli,Switzerland,2007,Blend,85.0,"harsh burnt, mild cocoa, tang",3.0,Excellence (US Version),4,1,1,0,1,0,0,1
2538,Lirio,U.S.A.,2020,Sierra Leone,72.0,"grassy, rubbery, chemical",2.5,Gola Rainforest,2,1,0,0,1,0,0,0
2538,Lirio,U.S.A.,2020,India,72.0,"basic cocoa, dirty/burnt edge",3.0,Anamalai,2,1,0,0,1,0,0,0
2538,Lirio,U.S.A.,2020,Vietnam,72.0,"spicy, sweet, cocoa",3.0,Tien Giang,2,1,0,0,1,0,0,0
1049,Loiza,Puerto Rico,2013,Puerto Rico,65.0,"black pepper, vanilla, harsh",2.5,Puerto Rico,5,1,1,1,1,0,0,1
1093,Lonohana,U.S.A.,2013,U.S.A.,71.0,"aluminum, mild coffee, roasty",3.0,"O'ahu Island, Opaeula Estate, Nene, CG Exclusive",4,1,1,0,1,0,0,1
1097,Lonohana,U.S.A.,2013,U.S.A.,72.0,"strong, brandy, smoke",3.0,"O'ahu Island, Opaeula Estate, Ele'ele",4,1,1,0,1,0,0,1
1097,Lonohana,U.S.A.,2013,U.S.A.,70.0,"sandy, floral, vanilla, candy",3.5,"Hawai'i Island, Hawaiian Crown, Kona Vanilla",4,1,1,0,1,0,0,1
1395,Lonohana,U.S.A.,2014,U.S.A.,65.0,"sweet, candy-like, nutty",3.25,"O'ahu Island, Haleiwa E, 2014",4,1,1,0,1,0,0,1
1383,Lonohana,U.S.A.,2014,U.S.A.,70.0,"spicy, candied, complex",3.75,"O'ahu Island, Haleiwa, Lonohana E., Kanahiku",2,1,0,0,1,0,0,0
1395,Lonohana,U.S.A.,2014,U.S.A.,75.0,"dairy, pudding",3.75,"O'ahu Island, Haleiwa E, 2014",4,1,1,0,1,0,0,1
2590,Loon,U.S.A.,2021,Bolivia,70.0,"sweet, sl. smokiness, fruit",2.75,Alto Beni,3,1,1,0,1,0,0,0
2586,Loon,U.S.A.,2021,Belize,75.0,"cherry, fatty, cocoa",3.0,Maya Mountain,3,1,1,0,1,0,0,0
1502,Love Bar,U.S.A.,2015,Nicaragua,75.0,"multiple off flavors, metallic",2.0,Nicaragua,2,1,0,0,1,0,0,0
2194,Love Brown,Taiwan,2018,Nicaragua,75.0,potting soil,2.5,Medalla,2,1,0,0,1,0,0,0
2194,Love Brown,Taiwan,2018,Sumatra,70.0,"smokey, earthy, cocoa",3.0,Sumatra,2,1,0,0,1,0,0,0
2198,Love Brown,Taiwan,2018,Nicaragua,80.0,"nutty, mild dairy",3.25,O'Payo,2,1,0,0,1,0,0,0
2198,Love Brown,Taiwan,2018,Nicaragua,78.0,intense mocha flavor,3.5,Chuno,2,1,0,0,1,0,0,0
1976,Luisa Abram,Brazil,2017,Brazil,81.0,"oily, burnt, earthy",3.25,"Rio Purus, 2016 Harvest",2,1,0,0,1,0,0,0
2238,Luisa Abram,Brazil,2018,Brazil,70.0,"rustic, basic cocoa, earthy",3.0,"Rio Acara, Wild Amazon",2,1,0,0,1,0,0,0
2692,Luisa Abram,Brazil,2021,Brazil,70.0,"mild sweet honey, rum, off",3.25,Wild Jurua (limited edition for Caputo's),3,1,1,0,1,0,0,0
2518,Luisa's Vegan,U.K.,2020,Papua New Guinea,72.0,"smoke, fruit, ham, fatty",3.25,Karkar Island,3,1,1,0,1,0,0,0
552,Luker,Colombia,2010,Blend,46.0,"very sweet, caramel, candy",2.75,"Selva, Colombia, Ecuador",5,1,1,1,1,0,0,1
552,Luker,Colombia,2010,Blend,60.0,"sticky, marshmallow, cocoa",3.0,"Macondo, Colombia, Ecuador",5,1,1,1,1,0,0,1
552,Luker,Colombia,2010,Blend,58.0,"watered down coffee, cocoa",3.0,"Misterio, Colombia, Ecuador",5,1,1,1,1,0,0,1
552,Luker,Colombia,2010,Colombia,65.0,"marshmallow, rich brownie",3.5,Santander,5,1,1,1,1,0,0,1
2506,Lumineux,U.S.A.,2020,India,72.0,"deep cocoa, sl. pungent, sandy",3.0,"Kerala State, GoGround",3,1,1,0,1,0,0,0
2502,Lumineux,U.S.A.,2020,Madagascar,73.0,"roasted pear, cocoa, sour",3.25,"Bejofo E., Sambirano",3,1,1,0,1,0,0,0
2502,Lumineux,U.S.A.,2020,Tanzania,75.0,"fatty, dominant roast, spice",3.25,Kilombero Valley,3,1,1,0,1,0,0,0
2506,Lumineux,U.S.A.,2020,Uganda,68.0,"candied, sweet cocoa, roasty",3.25,"Semuliki Forest, Latitude Trading Co",3,1,1,0,1,0,0,0
2506,Lumineux,U.S.A.,2020,Ivory Coast,67.0,"spice, coconut",3.5,Cote d'Ivoire,3,1,1,0,1,0,0,0
2426,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Uganda,75.0,"gritty, roasty, rubbery",2.5,Uganda,3,1,1,0,1,0,0,0
2430,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Ghana,75.0,"gritty, cocoa base, ashey",2.75,Ghana,3,1,1,0,1,0,0,0
284,Madecasse (Cinagra),Madagascar,2008,Madagascar,67.0,"sandy, red berry, cocoa",3.5,Madagascar,5,1,1,1,1,0,0,1
288,Madecasse (Cinagra),Madagascar,2008,Madagascar,75.0,"sticky, bitter, nutty",3.5,Madagascar,5,1,1,1,1,0,0,1
284,Madecasse (Cinagra),Madagascar,2008,Madagascar,70.0,"sandy, woody, peanut butter",3.75,Madagascar,5,1,1,1,1,0,0,1
284,Madecasse (Cinagra),Madagascar,2008,Madagascar,63.0,"intense, nutty, cocoa",4.0,Madagascar,5,1,1,1,1,0,0,1
2664,Madhu,U.S.A.,2021,Colombia,70.0,"very sticky, nutty, woody",2.5,Tumaco,2,1,0,0,1,0,0,0
607,Madre,U.S.A.,2010,Mexico,72.0,"raisiny, chewy",2.75,"Chiapas, Triple Cacao",4,1,1,0,1,0,0,1
672,Madre,U.S.A.,2011,Dominican Republic,70.0,"sandy, sweet, strong vanilla",2.5,Dominican,4,1,1,0,1,0,0,1
693,Madre,U.S.A.,2011,Costa Rica,70.0,"sticky, strong vanilla, pepper",2.75,Upala,4,1,1,0,1,0,0,1
991,Madre,U.S.A.,2012,U.S.A.,70.0,"creamy, vanilla, rich fruit",3.25,"Hawai'i Island, Hamakua Coast, Kokoleka",4,1,1,0,1,0,0,1
995,Madre,U.S.A.,2012,U.S.A.,70.0,"creamy, burnt nuts, woody",3.25,"Criollo, Hawaii",4,1,1,0,1,0,0,1
995,Madre,U.S.A.,2012,U.S.A.,70.0,"vanilla, brownie, peanut",3.5,Kaua'i Island,4,1,1,0,1,0,0,1
1085,Madre,U.S.A.,2013,Puerto Rico,70.0,"intense vanilla, swiss miss",2.75,Puerto Rico,4,1,1,0,1,0,0,1
1089,Madre,U.S.A.,2013,U.S.A.,70.0,"fatty, vanilla, candy-like",2.75,"Hawai'i Island, Choobua, Kona",4,1,1,0,1,0,0,1
1089,Madre,U.S.A.,2013,Mexico,70.0,"vanilla, earthy, caramel",2.75,"Xocunusco, Chiapas, Pichucalco",4,1,1,0,1,0,0,1
1085,Madre,U.S.A.,2013,Brazil,70.0,"strong vanilla, nut, coffee",3.5,Brazil,4,1,1,0,1,0,0,1
1940,Madre,U.S.A.,2017,Solomon Islands,73.0,"mild earthy, mild cocoa, nut",3.5,Guadalcanal,2,1,0,0,1,0,0,0
300,Maglio,Italy,2008,Tanzania,75.0,"chalky, astringent, vanilla",2.0,Africa,4,1,1,0,1,0,0,1
308,Maglio,Italy,2008,Ecuador,70.0,"creamy, nutty, mass market",3.0,Ecuador,4,1,0,1,1,0,0,1
308,Maglio,Italy,2008,Cuba,70.0,"nutty, cooling sensation",3.25,Cuba,5,1,1,1,1,0,0,1
308,Maglio,Italy,2008,Dominican Republic,70.0,"creamy, hay, nutty",3.75,Santo Domingo,5,1,1,1,1,0,0,1
531,Majani,Italy,2010,Ecuador,70.0,"strong vanilla, some spice",2.0,Ecuador,4,1,1,1,1,0,0,0
184,Malagasy (Chocolaterie Robert),Madagascar,2007,Madagascar,75.0,"cardboard, tea-like",2.75,Sambirano 2006,4,1,1,1,1,0,0,0
184,Malagasy (Chocolaterie Robert),Madagascar,2007,Madagascar,73.0,"creamy, sublte grape notes",3.5,Mora Mora 2006,4,1,1,1,1,0,0,0
1121,Malagos,Philippines,2013,Philippines,65.0,"sandy, sweet, cocoa",3.5,"Davao, Mt. Talamo foothills",5,1,1,1,1,0,0,1
2226,Malai,Thailand,2018,Thailand,70.0,"gummy, smokey, hammy",2.75,Chantaburi,3,1,1,0,0,1,0,0
311,Malie Kai (Guittard),U.S.A.,2009,U.S.A.,55.0,"sweet, vanilla, easter candy",2.75,"O'ahu Island, N. Shore, Waialua Estate",5,1,1,1,1,0,0,1
502,Malie Kai (Guittard),U.S.A.,2010,U.S.A.,55.0,"creamy, crunchy, very sweet",3.5,"O'ahu Island, N. Shore, Waialua Estate w/ nibs",5,1,1,1,1,0,0,1
1856,Malmo,Sweden,2016,Venezuela,70.0,"hammy, unrecognizable",3.0,Chuao,3,1,1,0,1,0,0,0
821,Mana,U.S.A.,2012,Dominican Republic,74.0,"berry, nutty, sour",3.75,Conacado,3,1,1,0,1,0,0,0
1219,Mana,U.S.A.,2014,Peru,74.0,"rubber, off medicinal",2.5,Peru,3,1,1,0,1,0,0,0
1219,Mana,U.S.A.,2014,Venezuela,74.0,"nutty, green",2.75,Venezuela,3,1,1,0,1,0,0,0
1446,Mana,U.S.A.,2015,Ecuador,74.0,"soil, wet, off notes",2.5,Ecuador,2,1,0,0,1,0,0,0
1331,Manifesto Cacao,Colombia,2014,Colombia,70.0,"muted, nutty",2.75,Colombia,4,1,1,1,1,0,0,0
1007,Manoa,U.S.A.,2012,U.S.A.,72.0,"oily, tangy, fruit, earthy",2.75,"Hawai'i Island, Hamakua, Hawaiian Crown, b. 176",3,1,1,0,1,0,0,0
1007,Manoa,U.S.A.,2012,Peru,72.0,"banana, menthol, medicinal",3.0,Piura,3,1,1,0,1,0,0,0
1003,Manoa,U.S.A.,2012,Liberia,72.0,"molassses, intense, off, herb",3.25,Liberia,3,1,1,0,1,0,0,0
1007,Manoa,U.S.A.,2012,U.S.A.,72.0,"molasses, sweet, cocoa",3.25,"O'ahu Island, Winward,Maunawili district, b. 151",3,1,1,0,1,0,0,0
1089,Manoa,U.S.A.,2013,U.S.A.,72.0,"orange, cocoa",3.75,"O'ahu Island, Waiahole, b. 182",3,1,1,0,1,0,0,0
1522,Manoa,U.S.A.,2015,Papua New Guinea,72.0,"smoke, fruit",3.5,Markham Valley,3,1,1,0,1,0,0,0
1522,Manoa,U.S.A.,2015,Costa Rica,72.0,"dried fruit, balanced, cocoa",3.75,Coto Brus,3,1,1,0,1,0,0,0
2032,Manoa,U.S.A.,2017,Peru,70.0,"sweet, fatty, fig",3.25,Ucayali,3,1,1,0,1,0,0,0
2442,Manoa,U.S.A.,2019,U.S.A.,70.0,"dried fruit,spicy,sticky,intense",3.5,"Hawai'i Island, Hilo and Kona regions",3,1,1,0,1,0,0,0
871,Manufaktura Czekolady,Poland,2012,Dominican Republic,70.0,"chewy, brownie like",3.25,Grand Cru Dominican Republic,2,1,0,0,1,0,0,0
875,Manufaktura Czekolady,Poland,2012,Ecuador,70.0,"grits, roaste brownie",3.25,Grand Cru Ecuador,2,1,0,0,1,0,0,0
871,Manufaktura Czekolady,Poland,2012,Ghana,70.0,"cocoa, coconut",3.5,Grand Cru Ghana,2,1,0,0,1,0,0,0
1279,Manufaktura Czekolady,Poland,2014,Colombia,85.0,"coarse, intense, nutty",3.5,Kolumbia,2,1,0,0,1,0,0,0
1255,Manufaktura Czekolady,Poland,2014,Venezuela,70.0,"nutty, intense, roasty",3.75,Porcelana,2,1,0,0,1,0,0,0
1848,Manufaktura Czekolady,Poland,2016,Peru,70.0,"nutty, roasty,",3.5,Peru,3,1,1,0,1,0,0,0
1844,Manufaktura Czekolady,Poland,2016,Nicaragua,70.0,"basic, balanced, deep cocoa",3.75,Johe,3,1,1,0,1,0,0,0
1606,Map Chocolate,U.S.A.,2015,Trinidad,70.0,"heavy roast, few grits, rich",2.75,"San Juan Estate, Cherry Blossoms at Night",3,1,1,0,1,0,0,0
1610,Map Chocolate,U.S.A.,2015,Colombia,75.0,"roasty, coffee, rubber",2.75,Colombia,3,1,1,0,1,0,0,0
1610,Map Chocolate,U.S.A.,2015,Tanzania,72.0,"sweet, fatty, roasty",3.0,"Kakoa Kamili, Both Man & Bird & Beast",3,1,1,0,1,0,0,0
1474,Map Chocolate,U.S.A.,2015,Dominican Republic,70.0,"fruity, tangy, cocoa",3.5,"ROIG, 2014",3,1,1,0,1,0,0,0
1474,Map Chocolate,U.S.A.,2015,Peru,62.0,"delicate, caramel, peanut",3.5,"Maranon, 2014",3,1,1,0,1,0,0,0
1478,Map Chocolate,U.S.A.,2015,Ecuador,70.0,"coarse, floral, rum",3.5,Ecuador,3,1,1,0,1,0,0,0
1606,Map Chocolate,U.S.A.,2015,Nicaragua,70.0,"rich, bright fruit",3.5,"A case of the Xerces Blues, triple roast",3,1,1,0,1,0,0,0
1606,Map Chocolate,U.S.A.,2015,Peru,68.0,"lemon, spicy, cocoa",3.5,"Tumbes, Dear Mr. Finley, 2014",3,1,1,0,1,0,0,0
1634,Map Chocolate,U.S.A.,2015,Honduras,78.0,"grassy, woody, sweet",3.5,Le Chocolat Chaud,3,1,1,0,1,0,0,0
1896,Map Chocolate,U.S.A.,2016,Vietnam,75.0,"intense, sour, tart",3.25,"Ben Tre, Surprise Valley",3,1,1,0,1,0,0,0
1956,Map Chocolate,U.S.A.,2017,Vietnam,73.0,"earthy, tobacco, ashey",3.0,"Lam Dong, ""Red Poppy""",2,1,0,0,1,0,0,0
2262,Map Chocolate,U.S.A.,2018,Blend,72.0,"off notes, rubbery, hammy",3.0,"""Peace of Wild Things""",3,1,1,0,1,0,0,0
2262,Map Chocolate,U.S.A.,2018,Mexico,72.0,"sweet, spicy, dirty",3.25,"Tabasco, ""Late for the Train""",3,1,1,0,1,0,0,0
2040,Map Chocolate,U.S.A.,2018,Dominican Republic,72.0,"complex, creamy, cherry",3.5,Zorzal Reserve,3,1,1,0,1,0,0,0
1884,Marana,Peru,2016,Peru,70.0,"smokey, dirty, sour",2.75,Cusco,3,1,1,0,1,0,0,0
2610,Marana,Peru,2021,Peru,80.0,"smoked nuts, tang",3.25,"San Martin, Allima coop",3,1,1,0,1,0,0,0
2610,Marana,Peru,2021,Peru,70.0,"mild orange, herbaceous",3.5,"Piura, Norandino coop, cacao blanco",3,1,1,0,1,0,0,0
2598,Maribea,U.S.A.,2021,Mexico,72.0,"earthy, musty, sweet",2.75,Tabasco,3,1,1,0,1,0,0,0
2598,Maribea,U.S.A.,2021,Bolivia,72.0,"floral, earthy, acidic, harsh",2.75,"Alto Beni, Walikewa",3,1,1,0,1,0,0,0
2598,Maribea,U.S.A.,2021,Brazil,72.0,"delicate, nutty, butterscotch",3.25,"Bahia, Catongo",3,1,1,0,1,0,0,0
1808,Marigold's Finest,Canada,2016,Blend,75.0,"earthy, coffee, roasty",3.25,Cacao Nib Crunch,2,1,0,0,1,0,0,0
2158,Markham & Fitz,U.S.A.,2018,Haiti,75.0,"dried fruit, woody, dirty",2.75,Pisa,2,1,0,0,1,0,0,0
895,Marou,Vietnam,2012,Vietnam,80.0,"creamy, fatty, black pepper",3.0,Tien Giang,3,1,1,0,1,0,0,0
845,Marou,Vietnam,2012,Vietnam,76.0,citrus,3.5,Ba Ria,3,1,1,0,1,0,0,0
845,Marou,Vietnam,2012,Vietnam,72.0,"roasty, coffee",3.5,Dong Nai,3,1,1,0,1,0,0,0
845,Marou,Vietnam,2012,Vietnam,70.0,"cocoa, spice, late sour",3.5,"Tien Giang, Gao Co-op",3,1,1,0,1,0,0,0
849,Marou,Vietnam,2012,Vietnam,78.0,"sticky, pepper, cinamon, rich",3.5,Ben Tre,3,1,1,0,1,0,0,0
955,Marou,Vietnam,2012,Vietnam,74.0,"melon, roasty",3.5,Lam Dong,3,1,1,0,1,0,0,0
1149,Marou,Vietnam,2013,Vietnam,75.0,"fatty, heavy roast, nutty",3.5,"Tan Phu Dong, Treasure Island",3,1,1,0,1,0,0,0
1650,Marou,Vietnam,2015,Vietnam,85.0,"long, mild honey, rich cocoa",3.25,"Tan Phu Dong Island, Heart of Darkness",2,1,0,0,1,0,0,0
1650,Marou,Vietnam,2015,Vietnam,68.0,"roasty, rich, coffee, nut",3.5,Ben Tre,2,1,0,0,1,0,0,0
1650,Marou,Vietnam,2015,Vietnam,70.0,spicy and fragrant,3.75,"Dak Lak, Batch 2451",2,1,0,0,1,0,0,0
2258,Marou,Vietnam,2018,Vietnam,75.0,"fatty, roasty, nutty",3.5,"Dak Nong, Tam Farm",3,1,1,0,1,0,0,0
1189,Marsatta,U.S.A.,2013,Dominican Republic,74.0,"waxy, rubber, medicinal",2.25,Dominican Republic,4,1,1,0,1,0,0,1
1189,Marsatta,U.S.A.,2013,Dominican Republic,89.0,"fatty, rubber, medicinal",2.5,Dominican Republic,4,1,1,0,1,0,0,1
1836,Martin Mayer,Austria,2016,Bolivia,76.0,"sticky, pungent, off note",2.75,Alto Beni,3,1,1,0,1,0,0,0
1836,Martin Mayer,Austria,2016,Haiti,82.0,"sandy, earthy, sweet edge",3.0,Pisa,3,1,1,0,1,0,0,0
1836,Martin Mayer,Austria,2016,Colombia,74.0,"sandy, mild floral, mild nutty",3.25,Tumaco,3,1,1,0,1,0,0,0
572,Mast Brothers,U.S.A.,2010,Venezuela,81.0,"sticky, woody, musty",2.75,Patanemo,2,1,0,0,1,0,0,0
572,Mast Brothers,U.S.A.,2010,Venezuela,75.0,"dry, sticky, nutty, earthy",3.0,Ocumare de la Costa,2,1,0,0,1,0,0,0
572,Mast Brothers,U.S.A.,2010,Dominican Republic,70.0,"sticky, earthy, coffee",3.25,"Dominican Republic, Coop",2,1,0,0,1,0,0,0
713,Mast Brothers,U.S.A.,2011,Venezuela,81.0,"gritty, high astringent, sour",2.75,"Chuao, Light Roast",2,1,0,0,1,0,0,0
777,Mast Brothers,U.S.A.,2011,Papua New Guinea,71.0,"gritty, sticky, smoke,hammy",2.75,Papua New Guinea,2,1,0,0,1,0,0,0
701,Mast Brothers,U.S.A.,2011,Venezuela,76.0,"sandy, strawberry, sour",3.0,"Chuao, Med. Roast",2,1,0,0,1,0,0,0
709,Mast Brothers,U.S.A.,2011,Venezuela,70.0,"dry, sandy, intense, berry",3.0,"Chuao, Dark Roast",2,1,0,0,1,0,0,0
777,Mast Brothers,U.S.A.,2011,Peru,75.0,"orange,lemon,coffee ground",3.0,San Martin,2,1,0,0,1,0,0,0
777,Mast Brothers,U.S.A.,2011,Dominican Republic,73.0,"dry, gritty, red berry, coffee",3.25,Conacado,2,1,0,0,1,0,0,0
672,Mast Brothers,U.S.A.,2011,Blend,72.0,"rich cocoa, coffee, roasty",3.5,Brooklyn Blend,2,1,0,0,1,0,0,0
773,Mast Brothers,U.S.A.,2011,Belize,70.0,"gritty, tangy, cocoa",3.5,Moho River,2,1,0,0,1,0,0,0
777,Mast Brothers,U.S.A.,2011,Dominican Republic,74.0,"gritty, raspberry, sour",3.75,"La Red de Guanconejo, N. Highlands coop",2,1,0,0,1,0,0,0
999,Mast Brothers,U.S.A.,2012,Blend,72.0,"gritty, overly tart, sour",2.5,Madagascar,2,1,0,0,1,0,0,0
999,Mast Brothers,U.S.A.,2012,Venezuela,73.0,"gritty, sour, sweet",2.75,Chuao,2,1,0,0,1,0,0,0
959,Mast Brothers,U.S.A.,2012,Blend,73.0,"gritty, fruit, tart, rich",3.5,"Shake Shack, Peru, Mad., Dom. Rep.",2,1,0,0,1,0,0,0
1359,Mast Brothers,U.S.A.,2014,Blend,75.0,"tart, deep choco",3.75,"French Laundry 20th Anniversary, Peru, Belize",2,1,0,0,1,0,0,0
1450,Mast Brothers,U.S.A.,2015,Guatemala,76.0,"mild bitter, citrus, intense",3.0,Guatemala,2,1,0,0,1,0,0,0
1450,Mast Brothers,U.S.A.,2015,Tanzania,74.0,"green, vegetal, mild spice",3.25,Tanzania,2,1,0,0,1,0,0,0
1177,Matale,Australia,2013,Vanuatu,72.0,"sticky, butterscotch, nutty",3.5,"Malekula P., 2013",3,1,1,0,1,0,0,0
1181,Matale,Australia,2013,Blend,70.0,"nutty, fruity, spicy",3.75,"PNG, Vanuatu, Mad; 2013 h.",3,1,1,0,1,0,0,0
1177,Matale,Australia,2013,Madagascar,68.0,"sticky, red fruit",4.0,"Somia, 2013",3,1,1,0,1,0,0,0
1177,Matale,Australia,2013,Papua New Guinea,74.0,"creamy, grassy, smoke, nut",4.0,"Kulili P., 2013",3,1,1,0,1,0,0,0
2704,Maui Kuia,U.S.A.,2021,U.S.A.,70.0,"sweet, banana, mild sour orange",3.5,"Kuia Estate, Hawaii, lot 083122",3,1,1,0,1,0,0,0
1367,Maverick,U.S.A.,2014,Belize,70.0,"heavy roast, smoke",3.25,Maya Mountain,2,1,0,0,1,0,0,0
1367,Maverick,U.S.A.,2014,Dominican Republic,70.0,"roasty, coffee",3.25,Elvesia,2,1,0,0,1,0,0,0
1430,Maverick,U.S.A.,2014,Peru,82.0,"intense, burnt, bitter, spice",3.25,Tumbes,2,1,0,0,1,0,0,0
1430,Maverick,U.S.A.,2014,Peru,63.0,"sweet, cherry, cream, raisin",3.5,"Morropon, Norandiono Coop, Piura",3,1,1,0,1,0,0,0
2482,Maverick,U.S.A.,2020,U.S.A.,70.0,"nutty, cheese, savory",3.0,"Hawai'i Island, Big Island, Mauna Kea",3,1,1,0,1,0,0,0
2486,Maverick,U.S.A.,2020,Vietnam,75.0,"roasty, hammy, dirty",3.0,"Dak Nong, Marou Cacao",3,1,1,0,1,0,0,0
2482,Maverick,U.S.A.,2020,Madagascar,65.0,"sweet edge, sour fruit",3.25,"Akesson P., Sambirano",3,1,1,0,1,0,0,0
1728,Mayacama,U.S.A.,2016,Dominican Republic,72.0,"gritty, sweet, earthy",3.0,Hispaniola,2,1,0,0,1,0,0,0
2474,McGuire,Canada,2020,Guatemala,70.0,"musty, woody, rubbery, roasty",2.5,"Cahabon E., ""Adioesmac""",3,1,1,0,1,0,0,0
2478,McGuire,Canada,2020,Belize,70.0,"cocoa, strawberry",3.25,"Maya Mountain, Toledo",3,1,1,0,1,0,0,0
1287,Meadowlands,U.S.A.,2014,Bolivia,70.0,"pungent, off",2.5,Bolivia,2,1,0,0,1,0,0,0
1287,Meadowlands,U.S.A.,2014,Venezuela,70.0,"molasses, sweet, choco",2.75,Venezuela,2,1,0,0,1,0,0,0
1287,Meadowlands,U.S.A.,2014,Belize,70.0,"spicy, metallic, molasses",3.0,Belize,2,1,0,0,1,0,0,0
1291,Meadowlands,U.S.A.,2014,Nicaragua,70.0,"fatty, sligthly bland, earthy",3.0,"Nicaragua, w/ inbs",2,1,0,0,1,0,0,0
1291,Meadowlands,U.S.A.,2014,Dominican Republic,70.0,"high roast, nutty, deep choco",3.5,Dominican Republic,2,1,0,0,1,0,0,0
2362,Mellow,Denmark,2019,Ecuador,85.0,"floral, earthy, bitter",2.5,"Camino Verde, Duran Region",2,1,0,0,0,1,0,0
2362,Mellow,Denmark,2019,Dominican Republic,70.0,"dry, floral, dirty, coconut",2.75,"Oko Caribe, El Cibao, 2018 Harvest",2,1,0,0,0,1,0,0
2362,Mellow,Denmark,2019,Philippines,70.0,"smooth, coconut, cocoa",3.25,"Kablon Farms, Mindanao Island, 2018 harvest",2,1,0,0,0,1,0,0
2362,Mellow,Denmark,2019,Tanzania,70.0,"creamy, coconut, cocoa",3.25,"Kokoa Kamili, 2018 harvest, Mbingu Village",2,1,0,0,0,1,0,0
837,Menakao (aka Cinagra),Madagascar,2012,Madagascar,80.0,"sticky, tart, slight burnt",2.5,Madagascar,4,1,1,1,1,0,0,0
841,Menakao (aka Cinagra),Madagascar,2012,Madagascar,72.0,"uneven, smokey, hammy",2.5,Madagascar,4,1,1,1,1,0,0,0
1347,Mesocacao,Honduras,2014,Honduras,80.0,"intense, ham, butterscotch",3.25,Honduras,3,1,1,0,1,0,0,0
1351,Mesocacao,Honduras,2014,Nicaragua,70.0,"acidic, pomegrant, brownie",3.25,"La Tronca, Matagalpa",3,1,1,0,1,0,0,0
1347,Mesocacao,Honduras,2014,Honduras,70.0,"intense, grassy, spicy, rich",3.5,Honduras,3,1,1,0,1,0,0,0
1351,Mesocacao,Honduras,2014,Nicaragua,80.0,"dried fruit, rich cocoa",3.5,"La Tronca, Matagalpa",3,1,1,0,1,0,0,0
1494,Mesocacao,Honduras,2015,El Salvador,80.0,"fatty, bitter, woody, roasty",2.75,El Salvador,3,1,1,0,1,0,0,0
1494,Mesocacao,Honduras,2015,El Salvador,70.0,"dairy, caramel",3.0,El Salvador,3,1,1,0,1,0,0,0
2250,Mestico,Brazil,2018,Brazil,75.0,"earthy, floral, rubbery",2.5,"Fazenda Bonanca, Bahia",3,1,1,0,1,0,0,0
1267,Metiisto,Sweden,2014,Brazil,70.0,"fatty, creamy, olive",3.0,"Fazenda Sempre Firme P., Bahia",3,1,1,0,1,0,0,0
1267,Metiisto,Sweden,2014,Madagascar,72.0,"creamy, fatty, mild cherry",3.5,Akesson Estate,3,1,1,0,1,0,0,0
2166,Metiisto,Australia,2018,Solomon Islands,72.0,"roasty/smokey, high acidity",3.25,"Patovaki, Paspaskato Is",3,1,1,0,1,0,0,0
2170,Metiisto,Australia,2018,Solomon Islands,67.0,"dried fruit, mild hammy",3.75,Tenaru,3,1,1,0,1,0,0,0
1688,Metropolitan,Amsterdam,2015,Blend,70.0,"accesible, simple cocoa note",3.5,South America,3,1,0,0,1,0,0,1
2210,Meybol,Germany,2018,Peru,70.0,"grape, mild smoke, sandy",3.5,Piura Blanco,3,1,1,0,1,0,0,0
24,Michel Cluizel,France,2006,Blend,60.0,"sweet, crisp nibs",2.0,Carre Amer,4,1,1,0,1,0,0,1
